Player 1,Player 2,Win/Loss for Player 1
A0,A1,0
A0,A2,0
A0,A3,1
A0,A4,0
A0,A5,0
A0,A6,1
A0,B0,0
A0,B1,1
A0,B2,1
A0,B3,1
A0,B4,0
A0,B5,0
A0,B6,0
A0,C0,0
A0,C1,0
A0,C2,1
A0,C3,1
A0,C4,0
A0,C5,1
A0,C6,1
A0,D0,0
A0,D1,0
A0,D2,1
A0,D3,0
A0,D4,0
A0,D5,0
A0,D6,0
A0,E0,0
A0,E1,0
A0,E2,1
A0,E3,1
A0,E4,0
A0,E5,1
A0,E6,0
A0,F0,1
A0,F1,0
A0,F2,0
A0,F3,0
A0,F4,1
A0,F5,0
A0,F6,0
A0,G0,0
A0,G1,0
A0,G2,0
A0,G3,1
A0,G4,0
A0,G5,1
A0,G6,1
A0,H0,0
A0,H1,0
A0,H2,0
A0,H3,0
A0,H4,0
A0,H5,0
A0,H6,1
A0,I0,1
A0,I1,0
A0,I2,0
A0,I3,0
A0,I4,0
A0,I5,0
A0,I6,0
A0,J0,1
A0,J1,1
A0,J2,0
A0,J3,1
A0,J4,0
A0,J5,0
A0,J6,0
A0,K0,0
A0,K1,1
A0,K2,0
A0,K3,1
A0,K4,0
A0,K5,0
A0,K6,0
A0,L0,0
A0,L1,0
A0,L2,0
A0,L3,0
A0,L4,1
A0,L5,1
A0,L6,1
A0,M0,0
A0,M1,1
A0,M2,1
A0,M3,0
A0,M4,1
A0,M5,0
A0,M6,1
A0,N0,0
A0,N1,0
A0,N2,0
A0,N3,0
A0,N4,1
A0,N5,0
A0,N6,1
A0,O0,1
A0,O1,0
A0,O2,1
A0,O3,0
A0,O4,0
A0,O5,0
A0,O6,0
A0,P0,1
A0,P1,0
A0,P2,0
A0,P3,0
A0,P4,0
A0,P5,0
A0,P6,1
A0,Q0,0
A0,Q1,1
A0,Q2,0
A0,Q3,0
A0,Q4,0
A0,Q5,0
A0,Q6,1
A0,R0,1
A0,R1,0
A0,R2,0
A0,R3,0
A0,R4,1
A0,R5,1
A0,R6,0
A0,S0,0
A0,S1,0
A0,S2,0
A0,S3,0
A0,S4,0
A0,S5,1
A0,S6,0
A0,T0,0
A0,T1,0
A0,T2,0
A0,T3,0
A0,T4,0
A0,T5,0
A0,T6,0
A0,U0,0
A0,U1,0
A0,U2,0
A0,U3,0
A0,U4,0
A0,U5,0
A0,U6,0
A0,V0,0
A0,V1,0
A0,V2,0
A0,V3,0
A0,V4,0
A0,V5,0
A0,V6,1
A0,W0,0
A0,W1,1
A0,W2,1
A0,W3,0
A0,W4,0
A0,W5,1
A0,W6,0
A0,X0,0
A0,X1,0
A0,X2,1
A0,X3,0
A0,X4,0
A0,X5,0
A0,X6,0
A0,Y0,1
A0,Y1,0
A0,Y2,0
A0,Y3,0
A0,Y4,0
A0,Y5,0
A0,Y6,1
A0,Z0,0
A0,Z1,0
A0,Z2,0
A0,Z3,0
A0,Z4,0
A0,Z5,1
A0,Z6,0
A1,A0,1
A1,A2,1
A1,A3,1
A1,A4,1
A1,A5,1
A1,A6,1
A1,B0,1
A1,B1,1
A1,B2,1
A1,B3,1
A1,B4,1
A1,B5,1
A1,B6,1
A1,C0,1
A1,C1,1
A1,C2,1
A1,C3,1
A1,C4,1
A1,C5,1
A1,C6,1
A1,D0,1
A1,D1,0
A1,D2,1
A1,D3,1
A1,D4,1
A1,D5,1
A1,D6,1
A1,E0,1
A1,E1,1
A1,E2,1
A1,E3,1
A1,E4,1
A1,E5,1
A1,E6,1
A1,F0,1
A1,F1,1
A1,F2,1
A1,F3,0
A1,F4,1
A1,F5,1
A1,F6,1
A1,G0,1
A1,G1,1
A1,G2,1
A1,G3,1
A1,G4,1
A1,G5,1
A1,G6,1
A1,H0,1
